00	3
01	5
02	2
03	4
04	6
05	7
06	7
07	8
08	7
09	0
10	5
11	5
12	0
13	3
14	6
15	3
16	1
17	3
18	5
19	4
20	5
21	5
22	1
23	0
24	0
25	8
26	2
27	6
28	4
29	1
30	6
31	8
32	0
33	3
34	4
35	2
36	7
37	4
38	2
39	4
40	6
41	6
42	6
43	5
44	2
45	0
46	5
47	3
48	7
49	0
50	2
51	3
52	4
53	6
54	0
55	4
56	8
57	2
58	8
59	5
60	2
61	7
62	4
63	3
64	1
65	0
66	1
67	1
68	1
69	7
70	8
71	0
72	7
73	7
74	1
75	4
76	7
77	3
78	5
79	8
80	5
81	0
82	5
83	4
84	3
85	8
86	2
87	4
88	1
89	3
90	6
91	8
92	8
93	0
94	2
95	6
96	7
97	8
98	2
99	3
